Category,Info,Ad Link
pbx,"Sole Distributors
Shop 5
15 Parkington Plaza,
Kingston 10, Jamaica
876-754-1562
soledistributors@cwjamaica.com",https://www.findyello.com/jamaica/sole-distributors/profile/15-parkington/
pbx,"Sole Distributors
Shop 7
25 King Street Linstead Jamaica
876-903-1617
soledistributors@cwjamaica.com",https://www.findyello.com/jamaica/sole-distributors/profile/25-king-street/
pbx,"TechPro Business Solutions Ltd
2B Courtney Walsh Drive,
Kingston 10, Jamaica
876-906-0239
psmith.ja@gmail.com
www.techproja.com",https://www.findyello.com/jamaica/techpro-business-solutions-ltd/profile/2b-courtney-walsh-drive/
pbx,"TechPro Business Solutions Ltd
11 Lindsay Cres (10)
876-906-0239
psmith.ja@gmail.com
www.techproja.com",https://www.findyello.com/jamaica/techpro-business-solutions-ltd/profile/11-lindsay-cres/
pbx,"TechPro Business Solutions Ltd
2B Courtney Walsh Dr Kgn 10
876-906-0239
psmith.ja@gmail.com
www.techproja.com",https://www.findyello.com/jamaica/techpro-business-solutions-ltd/profile/2b-courtney-walsh-dr-kgn/
pbx,"Cablepro Data Servs Ltd
6 Cairo St Ptmr
876-939-3852
nadine.williamson@cableprodata.com
www.cableprodataservices.com/",https://www.findyello.com/jamaica/cablepro-data-servs-ltd/profile/6-cairo-st-ptmr/
pbx,"Cablepro Data Servs Ltd
6 Cairo Street
Passage Fort Gregory Park Post Office Portmore St. Catherine
876-939-3852
nadine.williamson@cableprodata.com
www.cableprodataservices.com/",https://www.findyello.com/jamaica/cablepro-data-servs-ltd/profile/passage-fort/
pbx,"755-Pbxs
2A Coloden Road Kingston 8 Kingston
876-755-7297
755-pbxs@cwjamaica.com",https://www.findyello.com/jamaica/755-pbxs/profile/
pbx,"Caribbean Technology Solutions
Unit 11
22 Trafalgar Road,
Kingston 10, St. Andrew
876-906-4767
Or : 876-631-5456
Or : 876-632-0447
solutions@caribtechsol.com
www.caribtechsol.com",https://www.findyello.com/jamaica/caribbean-technology-solutions/profile/
pbx,"CB Cabling Technologies Ltd
24 H W T Rd (5)
876-906-3284
support@cbcabling.com
www.cbcabling.com/",https://www.findyello.com/jamaica/cb-cabling-technologies-ltd/profile/24-h-w-t-rd-5/
pbx,"CB Cabling Technologies Ltd
24 Half Way Tree Road,
Kingston 5, Jamaica
876-906-3284
support@cbcabling.com
www.cbcabling.com/",https://www.findyello.com/jamaica/cb-cabling-technologies-ltd/profile/24-half-way-tree/
pbx,"Real Time Distribution & Logistics Ltd
Kingston Freezone
46-49 Caracas Avenue,
Kingston, Jamaica
876-923-6389
info@realtimejamaica.com
www.realtimejamaica.com",https://www.findyello.com/jamaica/real-time-distribution-logistics-ltd/profile/
pbx,"Business District The
22B Old Hope Road,
Kingston 5, St. Andrew
876-665-3906
info@mybusinessdistrict.com
www.mybusinessdistrict.com",https://www.findyello.com/jamaica/business-district-the/profile/
pbx,"Asterisk It Solutions Ippbx Pbx
#20a Colliston Apts, 19-25 Colliston Close, Hagley Park Kingston St. Andrew
876-301-7037",https://www.findyello.com/jamaica/asterisk-it-solutions-ippbx-pbx/profile/
pbx,"PBX Jamaica - Cloud PBX Solutions
30-32 Red Hills Road Kingston
876-960-1004
patrick231274@gmail.com",https://www.findyello.com/jamaica/pbx-jamaica-cloud-pbx-solutions/profile/
pbx,"N S G Jamaica Ltd
Shop 12
13 West Kings House Road Kingston 10 St. Andrew
876-960-5246
www.netsergroup.com",https://www.findyello.com/jamaica/n-s-g-jamaica-ltd/profile/
lan,"Innovative Corporate Solutions Co Ltd
95 Dumbarton Avenue,
Kingston 10, Jamaica
876-908-2179
sales@innovative.com.jm
www.innovative.com.jm",https://www.findyello.com/jamaica/innovative-corporate-solutions-co-ltd/profile/95-dumbarton-avenue/
lan,"Innovative Corporate Solutions Co Ltd
95 Dumbarton Ave Kgn 10
876-908-2179
sales@innovative.com.jm
www.innovative.com.jm",https://www.findyello.com/jamaica/innovative-corporate-solutions-co-ltd/profile/95-dumbarton-ave-kgn/
lan,"Lan Integrators Ltd
5 Tremaine Road,
Kingston 6, St. Andrew
876-978-5256
teamlan@lanintegratorsltd.com
www.lanintegratorsltd.com",https://www.findyello.com/jamaica/lan-integrators-ltd/profile/dealers/
lan,"Lan Integrators Ltd
5 Tremaine Road,
Kingston 6, St. Andrew
876-978-5256
teamlan@lanintegratorsltd.com
www.lanintegratorsltd.com",https://www.findyello.com/jamaica/lan-integrators-ltd/profile/
lan,"Regent Solution Ltd
4a Cottage Road
Shop 5-7, Impack Business Centre Montego Bay St. James
876-940-2818
ck@regent.solutions
www.regent.solutions.com",https://www.findyello.com/jamaica/regent-solution-ltd/profile/
network,"Griffiths Compu-Max
Shop 12 -13 Villa Plaza
29 Main Street Mandeville Manchester
876-962-0735
griffithscompumax@yahoo.com",https://www.findyello.com/jamaica/griffiths-compu-max/profile/
